time;lon;lat;alt;pitch;bank;ias;tas;gs;vv
1695741808941;13.864888959659;51.1017370032452;4183.67874609873;0.792164165999315;0.392938463012287;61.9914588928223;80.3816909790039;82.2726712228041;-16.055233001709
1695741809065;13.8649471285383;51.1017344347746;4183.20593721619;0.791300680677837;0.414032925498666;61.990966796875;80.3799209594727;82.2709539892328;-16.060001373291
1695741809206;13.8650219847288;51.101731137492;4182.59743947197;0.792784432553317;0.445450810643347;61.9910621643066;80.3770523071289;82.2687024346383;-16.0656356811523
1695741809303;13.8651080403344;51.1017273589241;4181.89770943616;0.796956984445107;0.493412032716726;61.9909515380859;80.3725051879883;82.2630878305726;-16.0718421936035
1695741809401;13.865166511548;51.1017247994314;4181.42207846885;0.799739646201653;0.526285533051712;61.990795135498;80.3698348999023;82.2601934264588;-16.0761413574219
1695741809518;13.8652259168313;51.1017222059575;4180.93866537586;0.801502528698603;0.551270187377991;61.9906158447266;80.3670043945313;82.257999914003;-16.0806465148926
1695741809614;13.8652968140353;51.1017191204885;4180.36148769927;0.802340987780075;0.568248244296996;61.9905166625977;80.3635864257813;82.2552849417373;-16.08620262146
1695741809738;13.8653529308147;51.1017166860361;4179.90446159335;0.802614141986023;0.573690868555177;61.9903678894043;80.3609619140625;82.2519608924053;-16.0906848907471
1695741809839;13.8654293302168;51.1017133832391;4179.2820340605;0.803088039720545;0.574732267793323;61.990306854248;80.3579025268555;82.2490944015335;-16.0967884063721
1695741809960;13.8654897690581;51.1017107801411;4178.78948358813;0.803849659173855;0.572300376688603;61.9903831481934;80.3555145263672;82.2467266967673;-16.1015491485596
1695741810064;13.8655624636265;51.101707660713;4178.19687901797;0.805382769838258;0.568766177637321;61.9907684326172;80.35302734375;82.2440770092481;-16.1071968078613
1695741810167;13.8656227275783;51.1017050844222;4177.70546014909;0.806709694167092;0.565499977292541;61.9911727905273;80.3508605957031;82.2418210601766;-16.111837387085
1695741810292;13.865684546476;51.101702450805;4177.20120763071;0.807876055689577;0.564526122027869;61.9916038513184;80.3484039306641;82.2392511791001;-16.1165981292725
1695741810391;13.8657644182168;51.1016990617949;4176.54945902593;0.80891333730892;0.56546646565495;61.9920501708984;80.3451232910156;82.235911370366;-16.12278175354
1695741810492;13.8658216006635;51.1016966449565;4176.08269223342;0.809355325253414;0.566217793651174;61.9923439025879;80.3430252075195;82.2336607227346;-16.1272068023682
1695741810615;13.8658825418818;51.1016940778762;4175.58511174873;0.809342305205309;0.566581902743949;61.992733001709;80.3408660888672;82.2309795776238;-16.1318759918213
1695741810715;13.8659580406848;51.1016909097445;4174.96850014332;0.809079342922263;0.566266613849347;61.9932556152344;80.338020324707;82.2286747955396;-16.1375389099121
1695741810817;13.8660185537568;51.1016883800782;4174.47415992945;0.809039749169418;0.565285581247236;61.9903526306152;80.3357467651367;82.2257930728353;-16.141939163208
1695741810942;13.8660800835215;51.1016858166051;4173.97141613481;0.809419091472618;0.565088669100318;61.9887619018555;80.3333053588867;82.2231702245369;-16.1462650299072
1695741811044;13.8661550416671;51.1016827055766;4173.358827885;0.81148565058337;0.572123768233302;61.9879913330078;80.3303985595703;82.2197703268608;-16.1513156890869
1695741811162;13.8662175198963;51.1016801224461;4172.84810991643;0.814391629270946;0.582270503619128;61.9877853393555;80.3280181884766;82.2167973895793;-16.1554164886475
1695741811274;13.8662892363391;51.1016771687828;4172.26169175246;0.81803814987494;0.599750298392921;61.9879684448242;80.3252868652344;82.2140226198886;-16.1601619720459
1695741811389;13.8663589432703;51.101674309533;4171.691485824;0.820978866477748;0.61796940799994;61.9882850646973;80.3231506347656;82.2109152439944;-16.1649208068848
1695741811504;13.8664257426289;51.1016715807503;4171.14486592705;0.822203231247325;0.633870699055273;61.9891891479492;80.3224945068359;82.2096372982547;-16.1695919036865
1695741811598;13.8664985216037;51.1016686206116;4170.54915676626;0.821320109131984;0.649939702621122;61.990852355957;80.3222427368164;82.2092348984386;-16.1746234893799
1695741811712;13.8665531580452;51.101666407443;4170.10188290771;0.820115114352005;0.659817018799218;61.9924964904785;80.3220825195313;82.2089158624729;-16.1782321929932
1695741811812;13.8666244141115;51.1016635329097;4169.51851616652;0.818895391976629;0.670440726358451;61.9947280883789;80.321662902832;82.2083293610747;-16.1826114654541
1695741811925;13.8666783570921;51.1016613660411;4169.07687520941;0.818490116298924;0.679341361219246;61.9965286254883;80.3214492797852;82.2078938975578;-16.1856575012207
1695741812043;13.8667523566069;51.1016584067055;4168.47101408264;0.817646534575575;0.690917047616666;61.9990577697754;80.321174621582;82.2074276467869;-16.1894817352295
1695741812160;13.8668210042524;51.1016556752494;4167.90895930991;0.815898272952316;0.701122389550917;62.0014343261719;80.320930480957;82.2071337609544;-16.1926956176758
1695741812251;13.8668915641265;51.101652882071;4167.33126447454;0.812415356723285;0.715349862786227;62.0038375854492;80.3205337524414;82.2070580337765;-16.1956119537354
1695741812362;13.8669466572685;51.1016507113697;4166.88024427374;0.808689381809338;0.726596076959971;62.0057106018066;80.3200454711914;82.206878576396;-16.1975440979004
1695741812476;13.8670147090124;51.101648042654;4166.32324283949;0.803178166201078;0.740124476770505;62.0080108642578;80.3195571899414;82.2071626806082;-16.1993885040283
1695741812578;13.8670852288547;51.1016452922775;4165.74624810824;0.796462275977957;0.75903879981882;62.0102348327637;80.3183670043945;82.2076352429889;-16.2004814147949
1695741812691;13.8671407726763;51.1016431368165;4165.29199380993;0.791260660038169;0.775389219248153;62.0116653442383;80.3171157836914;82.2076128776826;-16.2006301879883
